ROTACI”N DUANA;;;;;;
MEDICAMENTO;MOLECULA;PROMEDIO MES;STOCK FARMACIA;PEDIDO 60 DIAS;;STOCK BODEGA
BROMUX 100 MG TABLETA | CAJA X 20. GARMISCH;PINAVERIO;60;240;0;;28470
BUDEMAR BUCAL 100mcg AEROSOL | FRASCO X 200DOSIS. BIOTOSCANA;BUDESONIDA;3;5;1;;128
BUDEMAR DUO 200MCG+6MCG  AEROSOL | FRASCO X 120DOSIS. BIOTOSCANA;BUDESONIDA + FORMOTEROL;44;83;5;;1447
BUSPIRONA 10MG TABLETA | CAJA X 20. GEN-FAR S.A;BUSPIRONA;120;370;0;;1180
CALAMINA 8% LOCION | FRASCO X 120ML. LICOL;CALAMINA;10;21;0;;741
CALCITRIOL 0.25MG CAPSULA | CAJA X 30. PROCAPS;CALCITRIOL;6398;11495;1301;;379493
CALCITRIOL 0,50MG CAPSULA | CAJA X 30. SYNTHESIS;CALCITRIOL;5;0;10;;50
CALCITRIOL 0.50 MG TABLETA | CAJA X 30. PROCAPS;CALCITRIOL;2783;4680;886;;99120
CANDESARTAN 16MG TABLETA | CAJA X 14. GEN-FAR S.A;CANDESARTAN CILEXETILO;0;70;0;;3192
CARBAMAZEPINA 200 MG TABLETA | CAJA X 100. BUSSIE;CARBAMAZEPINA;3718;1665;5771;;874370
CARBAMAZEPINA RETARD 400MG TABLETA | CAJA X 20. TECNOQUIMICAS;CARBAMAZEPINA;495;980;10;;24110
CARBIDOPA+LEVODOPA 250/25mg TABLETA | CAJA X 250. MEMPHIS;LEVODOPA + CARBIDOPA;3130;5745;515;;19662
CARBOLIT 300 MG TABLETA O CAPSULA | CAJA X 30. BUSSIE;CARBONATO DE LITIO;675;100;1250;;18005
CARBON ACTIVADO 450mg TABLETA | FRASCO X 100. SAN JORGE;CARBON ACTIVADO;1105;30;2180;;1388
CARBONATO CALCIO + VITAMINA D3 600MG/200UI TABLETA | CAJA X 300. LAPROFF;CALCIO CARBONATO+VITAMINA D;14641;23589;5693;;370890
CARBONATO DE CALCIO 600MG TABLETA | CAJA X 300. LAPROFF;CARBONATO DE CALCIO;690;1495;0;;463205
CARBONATO DE CALCIO 600MG TABLETA | CAJA X 30. GEN-FAR S.A;CARBONATO DE CALCIO;90;0;180;;180
CARDIOASPIRINA 81MG TABLETA DE LIBERACION PROGRAMADA | FRASCO X 24. BAYER;ACETIL SALICILICO ACIDO;24;48;0;;9474
CARTIX 1500MG POLVO PARA DISOLVER | CAJA X 14. GARMISCH;GLUCOSAMINA SULFATO;60;97;23;;72112
CARVEDIL 12.5MG TABLETA | CAJA X 30. GARMISCH;CARVEDILOL;45;120;0;;115474
CARVEDIL 6.25MG TABLETA | CAJA X 30. GARMISCH;CARVEDILOL;375;755;0;;238888
CEFALEXINA 250MG/5ML SUSPENSION ORAL | FRASCO X 60ML. GEN-FAR S.A;CEFALEXINA;7;22;0;;413
CEFALEXINA  250MG/5ml SUSPENSION ORAL | FRASCO X 60ML. LA SANTE;CEFALEXINA;10;0;20;;0
CEFALEXINA 500MG TABLETA O CAPSULA | CAJA X 10. GEN-FAR S.A;CEFALEXINA;1521;3110;0;;338736
CEFTRIAXONA 1G POLVO PARA INYECCION | CAJA X 10. VITALIS;CEFTRIAXONA;0;7;0;;233
CEFTRIDELT 1GR POLVO PARA INYECCION | CAJA X 1. DELTA;CEFTRIAXONA;6;29;0;;0
CEFUROXIMA 500mg TABLETA | CAJA X 10. GEN-FAR S.A;CEFUROXIMA;22;200;0;;5430
CELLCEPT 250MG TABLETA CON RECUBIER | CAJA X 100. ROCHE;MICOFELONATO;150;150;150;;600
CELLCEPT 500MG TABLETA CON RECUBIER | CAJA X 50. ROCHE;MICOFELONATO;480;1040;0;;2200
CETAPHIL ULTRA HUMECTANTE . LOCION | FRASCO X 226 ML. GALDERMA;ALCOHOL CETILICO+LAURIL SULFATO DE SODIO;2;8;0;;27
CETIRIZINA 10mg TABLETA | CAJA X 10. GEN-FAR S.A;CETIRIZINA;6144;11199;1089;;88134
CETIRIZINA 1% 10MG GOTAS ORALES | FRASCO X 15ML. WINTHROOP;CETIRIZINA;5;11;0;;94
CETIRIZINA 5MG/5ML 0.1G JARABE | FRASCO X 60ml. LA SANTE;CETIRIZINA;74;145;3;;2436
CEUMID 500 MG TABLETA | CAJA X 30. SCANDINAVIA;LEVETIRACETAM;2018;3870;166;;48060
CIFLOBLAS 0.3% SOLUCION OFTALMICAS | FRASCO X 5ML. BLASKOV;CIPROFLOXACINA;14;32;0;;938
CIPLABUTOL 5mcg LIQUIDO PARA NEBULIZACION | FRASCO X 15mL. BIOTOSCANA;SALBUTAMOL (SULFATO);0;1;0;;2129
CIPLADANOGEN 200MG TABLETA | CAJA X 30. BIOTOSCANA;DANAZOL;0;60;0;;480
CIPLADINEX 400MG CAPSULA DE LIBERACION PROGRAMADA | FRASCO X 30. BIOTOSCANA;DIDANOSINA;270;540;0;;2760
CIPROFIBRATO 100MG TABLETA | CAJA X 10. LA SANTE;CIPROFIBRATO;30;0;60;;1300
CIPROFIBRATO 100 MG TABLETA | CAJA X 20. GEN-FAR S.A;CIPROFIBRATO;270;260;280;;39100
CIPROFLOXACINA 500MG TABLETA | CAJA X 100. LAFRANCOL;CIPROFLOXACINA;1533;3090;0;;181550
CIPROTERONA 50mg TABLETA | CAJA X 20. B.C.N MEDICAL;CIPROTERONA ACETATO;0;120;0;;2159
CITRO-K 1080MG TABLETA DE LIBERACION PROGRAMADA | FRASCO X 30. LICOL;POTASIO CITRATO;0;30;0;;0
CLARITROMICINA 250mg/5ml JARABE | FRASCO X 50ml. COASPHARMA;CLARITROMICINA;0;3;0;;9
CLARITROMICINA 250MG/5ML SUSPENSION ORAL | FRASCO X 50ML. LA SANTE;CLARITROMICINA;1;0;2;;20
